x,y,z,r,p,y
-1.08348,2.63452,0.0366359,77.3754,0.888168,0.0174508
-1.08335,2.63491,0.0367228,77.3643,0.884804,0.029692
-1.27061,2.55193,0.0749086,76.4394,0.907806,0.0995913
-1.21331,2.47429,0.0253451,75.8023,1.14791,0.0352592
-1.18832,2.44541,0.00771311,75.7394,1.28627,0.0250612
-1.18518,2.43882,0.0155861,75.7051,1.25991,-0.18113
-1.18422,2.45296,0.0231079,75.6248,1.25321,-0.234008
-1.19315,2.46658,0.0294903,75.6605,1.26793,-0.219192
-1.20647,2.48439,0.0342044,75.6789,1.28988,-0.1584
-1.21587,2.4948,0.0360845,75.6637,1.27061,-0.150223
-1.23523,2.51137,0.0418202,75.7782,1.26347,-0.1239
-1.24877,2.52887,0.0461214,75.7683,1.25338,0.00744669
-1.26004,2.53188,0.0491972,75.8014,1.2075,-0.00124059
-1.26596,2.533,0.0479914,75.8503,1.30242,0.0976196
-1.27012,2.53439,0.0544909,75.9056,1.1927,0.103005
-1.26926,2.53423,0.0605827,75.8488,1.17993,0.157107
-1.2692,2.52877,0.0624003,75.8904,1.19534,0.269999
-1.2642,2.5215,0.0626781,75.8856,1.1488,0.229944
-1.26254,2.51728,0.0596183,75.907,1.14808,0.122323
-1.25768,2.51405,0.0600544,75.8745,1.10582,0.0360269
-1.24931,2.51034,0.0538698,75.7808,1.24989,0.165055
-1.24223,2.50624,0.0530348,75.8122,1.18391,0.118343
-1.23837,2.50326,0.052012,75.7851,1.15602,0.0774933
-1.2353,2.50357,0.0468999,75.8118,1.24323,0.0509887
-1.23179,2.50405,0.0443687,75.7672,1.20501,0.0287062
-1.23082,2.50254,0.0424139,75.7742,1.24518,-0.0442926
-1.23044,2.49989,0.0441634,75.7537,1.17648,-0.0361043
-1.23115,2.50007,0.0432098,75.7304,1.23677,0.00054356
-1.23274,2.49763,0.0441748,75.7387,1.27704,0.0477753
-1.23344,2.4983,0.0442143,75.776,1.22424,-0.0290969
-1.23421,2.50038,0.0437195,75.7921,1.27008,-0.0551911
-1.23801,2.50482,0.0448125,75.8082,1.27663,0.0529324
-1.23875,2.50537,0.0468031,75.8077,1.23447,0.0692881
-1.23887,2.50162,0.0424465,75.7449,1.3112,0.0347876
-1.23954,2.50311,0.0451537,75.8292,1.22402,0.0736944
-1.23922,2.50169,0.0447317,75.7782,1.26877,0.107844
-1.23781,2.50125,0.0444282,75.811,1.19652,-0.0412667
-1.23476,2.50236,0.0510904,75.7318,1.15957,0.0332097
-1.23505,2.50357,0.0500838,75.7608,1.22068,0.100379
-1.2376,2.50404,0.0468613,75.8147,1.25589,0.0624379
-1.23936,2.50346,0.0459267,75.8003,1.24081,0.0382145
-1.23858,2.50036,0.0457119,75.7617,1.23782,0.0904311
-1.24091,2.49778,0.0466056,75.7745,1.25424,0.104099
-1.24301,2.49711,0.0462181,75.8576,1.20952,0.0531726
-1.24193,2.49952,0.0492729,75.804,1.19685,0.120684
-1.24087,2.50021,0.0483765,75.7742,1.23377,0.145323
-1.24457,2.50236,0.046064,75.89,1.19919,-0.014292
-1.24298,2.50072,0.0461953,75.8259,1.20666,0.0192881
-1.24151,2.50303,0.0470085,75.7886,1.22805,0.123332
-1.23896,2.50254,0.0491108,75.7956,1.15888,0.0232911
-1.23831,2.50281,0.0468668,75.7674,1.25435,0.0580963
-1.23751,2.50266,0.0445864,75.7773,1.27085,0.0062433
