x,y,z,r,p,y
-1.26899,2.55126,0.0743845,76.4415,0.911198,0.0872114
-1.24087,2.51209,0.0497246,75.8306,1.14536,0.023312
-1.21521,2.479,0.0295816,75.7466,1.28003,0.0276434
-1.20482,2.46256,0.028336,75.7234,1.24999,-0.178124
-1.19892,2.46451,0.0303309,75.6418,1.25125,-0.231977
-1.20162,2.46868,0.0332361,75.6711,1.2595,-0.209854
-1.20902,2.47834,0.0356586,75.7052,1.28913,-0.176823
-1.21443,2.48472,0.0363551,75.6734,1.26423,-0.144093
-1.22807,2.49679,0.0402243,75.7852,1.26219,-0.12339
-1.23866,2.51059,0.0433726,75.777,1.25058,0.00391228
-1.24826,2.51563,0.0457836,75.81,1.2045,-0.00831021
-1.25445,2.51867,0.0451844,75.8538,1.29679,0.0910004
-1.25947,2.52199,0.0502895,75.9087,1.19041,0.0947711
-1.26053,2.52367,0.0553851,75.8574,1.17829,0.14596
-1.262,2.52138,0.057509,75.9042,1.19347,0.251333
-1.25931,2.51701,0.058415,75.8975,1.14784,0.215941
-1.25858,2.5143,0.0566707,75.9198,1.14936,0.101344
-1.25529,2.51205,0.0573567,75.8793,1.10735,0.0293358
-1.2491,2.50907,0.052969,75.7923,1.24565,0.151247
-1.24361,2.50584,0.0523199,75.8188,1.18021,0.113076
-1.2402,2.50328,0.0515507,75.7912,1.15422,0.0701073
-1.23731,2.50286,0.0476001,75.8135,1.24034,0.0470311
-1.23399,2.50291,0.0454036,75.7816,1.20343,0.0174036
-1.23254,2.50146,0.0435986,75.7815,1.24095,-0.0483599
-1.23176,2.49936,0.044589,75.7669,1.17734,-0.0477187
-1.23186,2.49914,0.0436681,75.7383,1.23299,-0.00556071
-1.23292,2.49711,0.0442344,75.7383,1.27358,0.047086
-1.23321,2.49725,0.0441662,75.7798,1.22213,-0.0297647
-1.23367,2.49858,0.0436962,75.785,1.26604,-0.0476549
-1.2367,2.50182,0.0444843,75.8043,1.27163,0.0562203
-1.23753,2.50262,0.0459945,75.8122,1.23145,0.0652286
-1.23767,2.49998,0.0427264,75.7558,1.30567,0.0246766
-1.23847,2.50117,0.0446784,75.8357,1.22204,0.0663911
-1.23842,2.50022,0.0443897,75.784,1.26602,0.105592
-1.2373,2.49994,0.0441475,75.8123,1.19607,-0.0446024
-1.23497,2.50091,0.049291,75.7368,1.15922,0.0292302
-1.23512,2.50191,0.0488069,75.7753,1.22052,0.0812574
-1.23698,2.50232,0.0465187,75.8219,1.25482,0.0536164
-1.23838,2.50209,0.0457794,75.8032,1.23972,0.0288384
-1.23798,2.49988,0.0455667,75.7642,1.23375,0.0842306
-1.23994,2.49783,0.046222,75.781,1.25265,0.0933842
-1.24173,2.49711,0.0459842,75.859,1.21055,0.0430267
-1.24119,2.49875,0.0483458,75.8141,1.19681,0.107334
-1.24061,2.49921,0.0477927,75.7863,1.23447,0.13157
-1.24335,2.50077,0.0460832,75.8887,1.19945,-0.0134883
-1.2423,2.49977,0.0461098,75.8307,1.20807,0.0109428
-1.24132,2.50153,0.0467206,75.7935,1.22755,0.115656
-1.23931,2.50143,0.0483447,75.7918,1.15888,0.0280636
-1.23866,2.50163,0.046732,75.7736,1.25269,0.051725
-1.2379,2.50153,0.0449554,75.7814,1.26731,-0.00414024
-1.24007,2.50217,0.0463938,75.8458,1.24359,0.0551559
-1.24021,2.49916,0.0477179,75.8587,1.24921,0.0174781
-1.24592,2.47865,0.0465701,76.2776,1.44819,-0.0865781
-1.25469,2.43256,0.0499644,76.7087,1.23212,0.0318992
-1.2612,2.38314,0.0537007,77.2531,1.1089,0.0226278
-1.27123,2.34376,0.0485806,77.4837,1.22372,-0.0666814
-1.2695,2.31167,0.0467245,77.8579,1.05515,0.129727
-1.27794,2.26674,0.0372747,78.2418,0.597998,0.21941
-1.29833,2.235,0.0350338,78.5157,0.450912,-0.247807
-1.30236,2.20177,0.0336887,78.7464,0.352412,-0.00154723
-1.31583,2.17062,0.0361688,79.0949,0.157883,-0.0318708
-1.32524,2.14612,0.0397645,79.4392,0.246999,-0.113789
-1.3267,2.11837,0.0418802,79.7001,0.24677,0.0496966
-1.33036,2.08149,0.0434368,79.9722,0.306114,0.239018
-1.33852,2.03931,0.0478349,80.312,0.0273508,0.0281995
-1.34869,1.99994,0.048037,80.5891,-0.0521776,0.000792423
-1.3555,1.95281,0.0493328,80.7958,-0.453565,-0.0780249
-1.35638,1.90933,0.0497123,81.1431,-0.609173,0.149192
-1.36642,1.86958,0.0452756,81.4338,-0.791865,0.0975537
-1.3727,1.83228,0.0432781,81.663,-1.13672,0.0264825
-1.37599,1.80598,0.042106,81.889,-1.28131,0.0833355
-1.37621,1.78191,0.0414619,82.0781,-1.4177,0.179954
-1.38296,1.75595,0.0380407,82.3975,-1.56185,0.106638
-1.38856,1.72529,0.0391114,82.7206,-1.84364,0.0160252
-1.38854,1.69087,0.0385985,82.9538,-1.93904,0.0683373
-1.3866,1.66384,0.0387812,83.3613,-1.93979,0.210315
-1.39422,1.63601,0.0418963,83.5829,-1.97032,0.152144
-1.39943,1.61426,0.0446463,83.8494,-1.90711,0.0468119
-1.41446,1.59916,0.0436676,83.9785,-1.46124,-0.325257
-1.3943,1.5734,0.0443368,83.9316,-1.27275,0.325941
-1.40657,1.54746,0.0417239,83.9899,-1.11677,0.0603752
-1.40715,1.51836,0.0391721,84.1892,-1.06832,0.370163
-1.41721,1.49079,0.0359735,84.2851,-0.913879,-0.0251867
-1.41385,1.4658,0.0383196,84.2182,-1.03345,0.440337
-1.41113,1.44206,0.0382075,84.4226,-0.900546,0.54015
-1.42141,1.41983,0.0368062,84.3676,-0.915966,0.340202
-1.41854,1.39343,0.0347712,84.5159,-0.903604,0.248171
-1.42198,1.3692,0.0324789,84.66,-0.913018,0.133522
-1.42559,1.34617,0.0294868,84.7613,-0.892329,0.0722623
-1.42595,1.32796,0.0298408,84.8636,-0.798212,0.215111
-1.43127,1.31279,0.0306747,84.9312,-0.722807,0.108054
-1.43648,1.30232,0.0318915,85.0912,-0.632059,-0.0304239
-1.43696,1.28673,0.0312628,85.0513,-0.490402,-0.128516
-1.43541,1.26759,0.0311455,85.1461,-0.37917,-0.0445602
-1.43782,1.25124,0.0307918,85.242,-0.313297,-0.0312255
-1.44139,1.23832,0.0304796,85.0637,-0.205471,-0.0552578
-1.44287,1.22094,0.0309714,84.8248,-0.153783,-0.140427
-1.44602,1.2046,0.0317131,84.6675,-0.0206909,-0.0197919
-1.44709,1.18879,0.0314151,84.7429,0.0395484,0.00913422
-1.44852,1.17398,0.0314319,84.9255,0.169866,-0.0079446
-1.45077,1.15385,0.0319593,85.1611,0.278977,-0.122241
-1.45335,1.13456,0.0301048,85.4182,0.427247,-0.00381362
-1.45329,1.11593,0.0303781,85.5297,0.544373,-0.155433
-1.45373,1.09651,0.0284579,85.6386,0.685608,-0.00703342
-1.45563,1.07958,0.026749,85.7542,0.736682,0.0584711
-1.45432,1.07845,0.0258214,85.7471,0.756743,-0.247385
-1.45381,1.08546,0.0230905,85.6862,0.809165,-0.00145496
-1.45412,1.08774,0.023175,85.6775,0.718761,0.0336418
-1.45309,1.08955,0.0221114,85.6769,0.820595,0.0643855
-1.4532,1.09192,0.0222297,85.6742,0.710211,-0.0148437
-1.45345,1.09447,0.0227738,85.6823,0.753702,-0.0230639
-1.45282,1.09633,0.0252419,85.6936,0.717909,-0.223051
-1.45559,1.09828,0.0254171,85.7053,0.730138,0.0373143
-1.45642,1.09807,0.0262314,85.6915,0.725278,0.00113485
-1.45851,1.09934,0.026679,85.7487,0.684857,0.0569438
-1.4563,1.09941,0.0287921,85.6903,0.655358,-0.211903
-1.4578,1.10093,0.0273689,85.7088,0.715433,0.0644629
-1.45959,1.09908,0.0262023,85.739,0.739062,0.123232
-1.45988,1.09933,0.0277883,85.7016,0.663237,0.127385
-1.46038,1.09895,0.0256311,85.7194,0.744106,0.0856799
-1.45806,1.09583,0.0269127,85.7061,0.707076,-0.152734
-1.45739,1.09565,0.0265058,85.7151,0.716626,-3.82664e-05
-1.45758,1.09504,0.0256532,85.7162,0.747257,0.0843946
-1.45811,1.09523,0.0250117,85.6978,0.754518,0.0160891
-1.45827,1.09663,0.0238653,85.7469,0.759027,0.0822917
-1.45749,1.09572,0.0232601,85.7033,0.718186,-0.00177362
-1.45765,1.09682,0.0219527,85.7284,0.769577,0.0584497
-1.45621,1.09499,0.0240992,85.737,0.724014,-0.226509
-1.45699,1.09483,0.0252292,85.6877,0.720992,-0.0152535
-1.45739,1.09214,0.0232869,85.6698,0.880648,0.0981165
-1.45688,1.09281,0.0252417,85.7388,0.709892,-0.234084
-1.45781,1.09301,0.0260268,85.7046,0.719451,0.0629254
-1.45488,1.09126,0.0275582,85.6807,0.666785,-0.24194
-1.45576,1.09392,0.0265673,85.7323,0.71733,0.0598218
-1.45755,1.09548,0.0256154,85.6931,0.753184,0.0382876
-1.45868,1.09684,0.025867,85.7577,0.730154,-0.0232046
-1.45958,1.09853,0.0254908,85.7546,0.774145,0.0284453
-1.45975,1.09802,0.0249611,85.7208,0.720413,0.0194405
-1.46134,1.09762,0.0246008,85.7342,0.728351,0.0385855
-1.45919,1.09401,0.0249609,85.7142,0.763879,-0.173097
-1.45881,1.09352,0.0241765,85.7317,0.784512,0.074794
-1.46009,1.09343,0.0241781,85.7531,0.78028,0.0125733
-1.46028,1.09379,0.0239501,85.7233,0.736417,0.0906997
-1.4597,1.09293,0.0229585,85.7159,0.789938,0.0690416
-1.45838,1.09412,0.0256514,85.7177,0.686853,-0.187777
-1.45882,1.0932,0.0247802,85.7164,0.753278,0.0269034
-1.45775,1.09465,0.0252567,85.697,0.736854,0.0256984
-1.4574,1.0981,0.0261615,85.6894,0.672505,0.00721801
-1.45757,1.09777,0.0265941,85.7066,0.720685,0.0844108
-1.45829,1.09641,0.0260677,85.7107,0.748319,0.0420544
-1.45663,1.09427,0.0274396,85.6797,0.749549,-0.151601
-1.45651,1.09473,0.0249217,85.6817,0.785412,0.0933845
-1.45676,1.09022,0.0266651,85.8098,0.751822,-0.257472
-1.45643,1.07518,0.0262638,86.2749,0.968167,0.129998
-1.46032,1.03451,0.0235876,87.0498,1.29806,0.0709557
-1.45755,0.967429,0.0227679,87.5428,1.48772,0.430685
-1.46259,0.87673,0.0238126,88.2237,1.46117,0.15736
-1.47028,0.773579,0.0270293,88.6834,1.30696,0.51292
-1.47854,0.681549,0.0296658,89.1902,1.19422,0.540176
-1.47554,0.600938,0.0269547,89.5089,1.3456,0.276236
-1.48312,0.520691,0.029643,90.0169,1.2813,0.504987
-1.48231,0.441018,0.0324142,90.5654,1.22009,0.633587
-1.4837,0.359678,0.0341192,90.8615,1.09973,0.539125
-1.48086,0.285179,0.0364345,91.234,1.02037,0.684539
-1.47539,0.21107,0.0357518,91.4334,1.04162,0.698533
-1.47395,0.135103,0.0399532,91.6321,0.84445,0.641597
-1.47128,0.0579806,0.0434131,91.9833,0.923186,0.695857
-1.46379,-0.0185968,0.0394338,92.2103,1.14421,0.222642
-1.4662,-0.0969893,0.0416047,92.4581,0.943946,0.553764
-1.46283,-0.167149,0.046678,92.5314,0.885696,0.720989
-1.46102,-0.235108,0.047052,92.7931,0.828683,0.690896
-1.44932,-0.307072,0.041215,92.9708,1.02175,0.196671
-1.45366,-0.380059,0.0412496,93.2284,0.936249,0.691937
-1.44747,-0.459825,0.0429889,93.6089,1.01734,0.884459
-1.44123,-0.551665,0.0384154,93.8465,1.11669,0.215608
-1.43526,-0.63888,0.0438271,94.0701,0.931068,0.893093
-1.428,-0.715256,0.0394834,94.1662,1.12862,0.238956
-1.42445,-0.786308,0.0464856,94.3239,1.0077,0.867565
-1.41472,-0.862464,0.0435252,94.3954,1.21594,0.16412
-1.41213,-0.940327,0.051509,94.4256,1.04639,0.965608
-1.41433,-1.01993,0.0569492,94.4686,0.982895,0.93411
-1.40757,-1.09442,0.0617911,94.4597,1.04892,1.20551
